DateVal,CMODateCount,CumCases,DailyDeaths,CumDeaths,EngConfSpecimens,CumEngConfSpec
2020-01-31,2,2,,,,
2020-02-01,0,2,,,,
2020-02-02,0,2,,,,
2020-02-03,0,2,,,,
2020-02-04,0,2,,,,
2020-02-05,0,2,,,,
2020-02-06,1,3,,,,
2020-02-07,0,3,,,,
2020-02-08,0,3,,,,
2020-02-09,1,4,,,,
2020-02-10,4,8,,,,
2020-02-11,0,8,,,1.0,11.0
2020-02-12,0,8,,,1.0,12.0
2020-02-13,1,9,,,1.0,13.0
2020-02-14,0,9,,,1.0,14.0
2020-02-15,0,9,,,,
2020-02-16,0,9,,,1.0,15.0
2020-02-17,0,9,,,1.0,16.0
2020-02-18,0,9,,,,
2020-02-19,0,9,,,1.0,17.0
2020-02-20,0,9,,,,
2020-02-21,0,9,,,1.0,18.0
2020-02-22,0,9,,,,
2020-02-23,0,9,,,4.0,22.0
2020-02-24,4,13,,,1.0,23.0
2020-02-25,0,13,,,4.0,27.0
2020-02-26,0,13,,,3.0,30.0
2020-02-27,0,13,,,6.0,36.0
2020-02-28,6,19,,,11.0,47.0
2020-02-29,4,23,,,4.0,51.0
2020-03-01,12,35,,,31.0,82.0
2020-03-02,5,40,,,39.0,121.0
2020-03-03,11,51,,,51.0,172.0
2020-03-04,34,85,,,49.0,221.0
2020-03-05,29,114,,,47.0,268.0
2020-03-06,46,160,,,73.0,341.0
2020-03-07,46,206,,,47.0,388.0
2020-03-08,65,271,,,50.0,438.0
2020-03-09,50,321,,,125.0,563.0
2020-03-10,52,373,,6.0,225.0,788.0
2020-03-11,83,456,,,365.0,1153.0
2020-03-12,139,590,,8.0,421.0,1574.0
2020-03-13,207,797,,,390.0,1964.0
2020-03-14,264,1061,,21.0,315.0,2279.0
2020-03-15,330,1391,14.0,35.0,397.0,2676.0
2020-03-16,152,1543,20.0,55.0,546.0,3222.0
2020-03-17,407,1950,16.0,71.0,679.0,3901.0
2020-03-18,676,2626,32.0,103.0,910.0,4811.0
2020-03-19,643,3269,41.0,144.0,931.0,5742.0
2020-03-20,714,3983,33.0,177.0,1083.0,6825.0
2020-03-21,1035,5018,56.0,233.0,1034.0,7859.0
2020-03-22,665,5683,48.0,281.0,1206.0,9065.0
2020-03-23,967,6650,54.0,335.0,2017.0,11082.0
2020-03-24,1427,8077,87.0,422.0,2020.0,13102.0
2020-03-25,1452,9529,41.0,463.0,2261.0,15363.0
2020-03-26,2129,11658,115.0,578.0,2616.0,17979.0
2020-03-27,2885,14543,181.0,759.0,2656.0,20635.0
2020-03-28,2546,17089,260.0,1019.0,2377.0,23012.0
2020-03-29,2433,19522,209.0,1228.0,2437.0,25449.0
2020-03-30,2619,22141,180.0,1408.0,3483.0,28932.0
2020-03-31,3009,25150,381.0,1789.0,3754.0,32686.0
2020-04-01,4324,29474,563.0,2352.0,4078.0,36764.0
2020-04-02,4244,33718,569.0,2921.0,4006.0,40770.0
2020-04-03,4450,38168,684.0,3605.0,4034.0,44804.0
2020-04-04,3735,41903,708.0,4313.0,3322.0,48126.0
2020-04-05,5914,47806,621.0,4934.0,3020.0,51146.0
2020-04-06,3802,51608,439.0,5373.0,4283.0,55429.0
2020-04-07,3634,55242,786.0,6159.0,4428.0,59857.0
2020-04-08,5491,60733,938.0,7097.0,4158.0,64015.0
2020-04-09,4344,65077,881.0,7978.0,3928.0,67943.0
2020-04-10,5706,73758,980.0,8958.0,3469.0,71412.0
2020-04-11,5234,78991,917.0,9875.0,2935.0,74347.0
2020-04-12,5288,84279,737.0,10612.0,2624.0,76971.0
2020-04-13,4342,88621,717.0,11329.0,3272.0,80243.0
2020-04-14,5252,93873,778.0,12107.0,3353.0,83596.0
2020-04-15,4605,98476,761.0,12868.0,3630.0,87226.0
2020-04-16,4618,103093,861.0,13729.0,3440.0,90666.0
2020-04-17,5599,108692,847.0,14576.0,3410.0,94076.0
2020-04-18,5526,114217,888.0,15464.0,2527.0,96603.0
2020-04-19,5850,120067,596.0,16060.0,2046.0,98649.0
2020-04-20,4676,124743,449.0,16509.0,2923.0,101572.0
2020-04-21,4301,129044,823.0,17337.0,,
2020-04-22,4451,133495,759.0,18100.0,,
2020-04-23,4583,138078,616.0,18738.0,,
2020-04-24,5386,143464,684.0,19506.0,,
2020-04-25,4913,148377,813.0,20319.0,,
