DateVal,TestCount
2020-02-27,895
2020-02-28,1296
2020-02-29,1474
2020-03-01,1290
2020-03-02,1775
2020-03-03,386
2020-03-04,2748
2020-03-05,1424
2020-03-06,2255
2020-03-07,1122
2020-03-08,2053
2020-03-09,1447
2020-03-10,1301
2020-03-11,1215
2020-03-12,2288
2020-03-13,3007
2020-03-14,4975
2020-03-15,2533
2020-03-16,3826
2020-03-17,6337
2020-03-18,5779
2020-03-19,8360
2020-03-20,2355
2020-03-21,5842
2020-03-22,5522
2020-03-23,5605
2020-03-24,6491
2020-03-25,6583
2020-03-26,7847
2020-03-27,8911
2020-03-28,6999
2020-03-29,6961
2020-03-30,7209
2020-03-31,8240
2020-04-01,9793
2020-04-02,10215
2020-04-03,10590
2020-04-04,9406
2020-04-05,12334
2020-04-06,13313
2020-04-07,9740
2020-04-08,12959
2020-04-09,10713
2020-04-10,13543
2020-04-11,12993
2020-04-12,10745
2020-04-13,10745
2020-04-14,11879
2020-04-15,11170
2020-04-16,13839
2020-04-17,13943
2020-04-18,15472
2020-04-19,15944
2020-04-20,14106
2020-04-21,11626
2020-04-22,13522
2020-04-23,14629
2020-04-24,18401
2020-04-25,23115
2020-04-26,25577
2020-04-27,26355
2020-04-28,29571
2020-04-29,33455
2020-04-30,54575
2020-05-01,73191
2020-05-02,63667
2020-05-03,76496
2020-05-04,62956
2020-05-05,69839
2020-05-06,57006
2020-05-07,65092
2020-05-08,67443
2020-05-09,63339
2020-05-10,64362
